,Año,Trimestre,Provincia,Mbps_(Media_De_Bajada),Fecha
391,2020,1,Entre Ríos,19.03,2020-01-01
392,2020,1,Formosa,15.7,2020-01-01
393,2020,1,Jujuy,14.14,2020-01-01
394,2020,1,La Pampa,7.29,2020-01-01
395,2020,1,La Rioja,7.96,2020-01-01
396,2020,1,Mendoza,8.44,2020-01-01
397,2020,1,Misiones,22.15,2020-01-01
398,2020,1,Neuquén,27.77,2020-01-01
399,2020,1,Río Negro,19.06,2020-01-01
400,2020,1,Salta,21.43,2020-01-01
401,2020,1,San Juan,6.04,2020-01-01
402,2020,1,San Luis,20.99,2020-01-01
403,2020,1,Santa Cruz,6.42,2020-01-01
404,2020,1,Santa Fe,22.42,2020-01-01
405,2020,1,Santiago Del Estero,10.0,2020-01-01
406,2020,1,Tierra Del Fuego,7.41,2020-01-01
407,2020,1,Tucumán,32.25,2020-01-01
408,2019,4,Buenos Aires,30.77,2019-10-01
409,2019,4,Capital Federal,44.2,2019-10-01
410,2019,4,Catamarca,24.88,2019-10-01
411,2019,4,Chaco,23.37,2019-10-01
412,2019,4,Chubut,6.99,2019-10-01
413,2019,4,Córdoba,26.16,2019-10-01
414,2019,4,Corrientes,19.26,2019-10-01
415,2019,4,Entre Ríos,17.01,2019-10-01
416,2019,4,Formosa,14.53,2019-10-01
417,2019,4,Jujuy,12.96,2019-10-01
418,2019,4,La Pampa,6.53,2019-10-01
419,2019,4,La Rioja,8.0,2019-10-01
420,2019,4,Mendoza,7.79,2019-10-01
421,2019,4,Misiones,20.32,2019-10-01
422,2019,4,Neuquén,26.02,2019-10-01
423,2019,4,Río Negro,17.18,2019-10-01
424,2019,4,Salta,19.08,2019-10-01
425,2019,4,San Juan,6.04,2019-10-01
426,2019,4,San Luis,20.69,2019-10-01
427,2019,4,Santa Cruz,5.21,2019-10-01
428,2019,4,Santa Fe,20.55,2019-10-01
429,2019,4,Santiago Del Estero,9.79,2019-10-01
430,2019,4,Tierra Del Fuego,7.27,2019-10-01
431,2019,4,Tucumán,29.87,2019-10-01
432,2019,3,Buenos Aires,25.68,2019-07-01
433,2019,3,Capital Federal,38.71,2019-07-01
434,2019,3,Catamarca,9.29,2019-07-01
435,2019,3,Chaco,19.99,2019-07-01
436,2019,3,Chubut,6.97,2019-07-01
437,2019,3,Córdoba,23.19,2019-07-01
438,2019,3,Corrientes,16.7,2019-07-01
439,2019,3,Entre Ríos,14.7,2019-07-01
440,2019,3,Formosa,13.22,2019-07-01
441,2019,3,Jujuy,11.97,2019-07-01
442,2019,3,La Pampa,5.72,2019-07-01
443,2019,3,La Rioja,8.0,2019-07-01
444,2019,3,Mendoza,6.11,2019-07-01
445,2019,3,Misiones,17.93,2019-07-01
446,2019,3,Neuquén,23.75,2019-07-01
447,2019,3,Río Negro,15.98,2019-07-01
448,2019,3,Salta,14.75,2019-07-01
449,2019,3,San Juan,6.04,2019-07-01
450,2019,3,San Luis,19.74,2019-07-01
451,2019,3,Santa Cruz,5.02,2019-07-01
452,2019,3,Santa Fe,18.17,2019-07-01
453,2019,3,Santiago Del Estero,9.39,2019-07-01
454,2019,3,Tierra Del Fuego,6.69,2019-07-01
455,2019,3,Tucumán,19.32,2019-07-01
456,2019,2,Buenos Aires,22.48,2019-04-01
457,2019,2,Capital Federal,30.35,2019-04-01
458,2019,2,Catamarca,8.81,2019-04-01
459,2019,2,Chaco,16.01,2019-04-01
460,2019,2,Chubut,6.05,2019-04-01
461,2019,2,Córdoba,18.43,2019-04-01
462,2019,2,Corrientes,13.83,2019-04-01
463,2019,2,Entre Ríos,12.19,2019-04-01
464,2019,2,Formosa,10.84,2019-04-01
465,2019,2,Jujuy,12.07,2019-04-01
466,2019,2,La Pampa,5.49,2019-04-01
467,2019,2,La Rioja,7.89,2019-04-01
468,2019,2,Mendoza,6.03,2019-04-01
469,2019,2,Misiones,14.5,2019-04-01
470,2019,2,Neuquén,17.24,2019-04-01
471,2019,2,Río Negro,11.63,2019-04-01
472,2019,2,Salta,12.55,2019-04-01
473,2019,2,San Juan,6.12,2019-04-01
474,2019,2,San Luis,19.88,2019-04-01
475,2019,2,Santa Cruz,6.01,2019-04-01
476,2019,2,Santa Fe,15.07,2019-04-01
477,2019,2,Santiago Del Estero,7.1,2019-04-01
478,2019,2,Tierra Del Fuego,6.34,2019-04-01
479,2019,2,Tucumán,18.53,2019-04-01
480,2019,1,Buenos Aires,19.64,2019-01-01
481,2019,1,Capital Federal,24.72,2019-01-01
482,2019,1,Catamarca,7.96,2019-01-01
483,2019,1,Chaco,13.44,2019-01-01
484,2019,1,Chubut,5.89,2019-01-01
485,2019,1,Córdoba,15.73,2019-01-01
486,2019,1,Corrientes,12.05,2019-01-01
487,2019,1,Entre Ríos,10.66,2019-01-01
488,2019,1,Formosa,9.83,2019-01-01
489,2019,1,Jujuy,8.56,2019-01-01
490,2019,1,La Pampa,5.06,2019-01-01
491,2019,1,La Rioja,7.09,2019-01-01
492,2019,1,Mendoza,5.74,2019-01-01
493,2019,1,Misiones,12.51,2019-01-01
494,2019,1,Neuquén,15.88,2019-01-01
495,2019,1,Río Negro,10.49,2019-01-01
496,2019,1,Salta,10.38,2019-01-01
497,2019,1,San Juan,5.84,2019-01-01
498,2019,1,San Luis,8.71,2019-01-01
499,2019,1,Santa Cruz,5.78,2019-01-01
500,2019,1,Santa Fe,12.99,2019-01-01
501,2019,1,Santiago Del Estero,6.42,2019-01-01
502,2019,1,Tierra Del Fuego,6.34,2019-01-01
503,2019,1,Tucumán,16.57,2019-01-01
504,2018,4,Buenos Aires,16.93,2018-10-01
505,2018,4,Capital Federal,22.94,2018-10-01
506,2018,4,Catamarca,8.04,2018-10-01
507,2018,4,Chaco,13.49,2018-10-01
508,2018,4,Chubut,6.09,2018-10-01
509,2018,4,Córdoba,15.81,2018-10-01
510,2018,4,Corrientes,12.14,2018-10-01
511,2018,4,Entre Ríos,11.02,2018-10-01
512,2018,4,Formosa,9.82,2018-10-01
513,2018,4,Jujuy,8.56,2018-10-01
514,2018,4,La Pampa,4.32,2018-10-01
515,2018,4,La Rioja,7.09,2018-10-01
516,2018,4,Mendoza,5.75,2018-10-01
517,2018,4,Misiones,12.5,2018-10-01
518,2018,4,Neuquén,15.89,2018-10-01
519,2018,4,Río Negro,10.49,2018-10-01
520,2018,4,Salta,10.46,2018-10-01
521,2018,4,San Juan,5.72,2018-10-01
522,2018,4,San Luis,8.82,2018-10-01
523,2018,4,Santa Cruz,5.12,2018-10-01
524,2018,4,Santa Fe,13.18,2018-10-01
525,2018,4,Santiago Del Estero,6.31,2018-10-01
526,2018,4,Tierra Del Fuego,7.44,2018-10-01
527,2018,4,Tucumán,16.58,2018-10-01
528,2018,3,Buenos Aires,16.78,2018-07-01
529,2018,3,Capital Federal,21.64,2018-07-01
530,2018,3,Catamarca,7.81,2018-07-01
